"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1586",7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5
"4881",6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.53333333333333,6
"1189",7.1,0.21,0.3,1.4,0.037,45,143,0.9932,3.13,0.33,9.9,6
"1824",7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6
"3239",7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5
"2141",7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
"429",7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5
"1979",7.9,0.33,0.26,1.2,0.044,23,103,0.9932,3.19,0.54,10.5,6
"446",7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3
"4543",6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
"3883",7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5
"840",7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,7
"3375",5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5
"4046",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
"1353",5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6
"4458",6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5
"2692",6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6
"666",7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,5
"3194",5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5
"18",6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
"4473",7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,5
"1116",7,0.15,0.38,2.2,0.047,33,96,0.9928,3.13,0.39,10.4,8
"2623",6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
"1047",6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5
"1016",7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5
"2796",6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8
"2089",8.7,0.15,0.3,1.6,0.046,29,130,0.9942,3.22,0.38,9.8,6
"1689",6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3
"952",7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
"3271",6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5
"1233",7.9,0.44,0.37,5.85,0.033,27,93,0.992,3.16,0.54,12.6,7
"796",7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5
"1077",7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6
"344",5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5
"1829",7.3,0.17,0.23,6.3,0.051,35,240,0.9963,3.36,0.54,10,6
"530",5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6
"4886",6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.55,6
"918",7.7,0.3,0.32,1.6,0.037,23,124,0.9919,2.93,0.33,11,6
"1462",6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,6
"4395",6.3,0.2,0.26,12.7,0.046,60,143,0.99526,3.26,0.35,10.8,6
"3219",6.5,0.29,0.25,2.5,0.142,8,111,0.9927,3,0.44,9.9,4
"1952",9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2,4
"2689",7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
"4537",7.3,0.28,0.54,12.9,0.049,62,152,0.9984,3.06,0.45,9.1,6
"4312",7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,5
"2765",7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,6
"2526",7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8
"2314",6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7
"1296",7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6
"3167",5.2,0.34,0.37,6.2,0.031,42,133,0.99076,3.25,0.41,12.5,6
"1160",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
"3649",7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1,5
"989",6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
"1422",6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,6
"515",7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,7
"2589",6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
"1147",9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,5
"2759",5.8,0.13,0.26,5.1,0.039,19,103,0.99478,3.36,0.47,9.3,6
"3955",6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5
"4208",6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8,7
"282",6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,8
"3242",5.8,0.3,0.42,1.1,0.036,19,113,0.98871,3.1,0.46,12.6,7
"2217",7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5
"1101",6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
"132",6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7
"4860",6,0.43,0.34,7.6,0.045,25,118,0.99222,3.03,0.37,11,6
"2874",5.8,0.21,0.32,1.6,0.045,38,95,0.98946,3.23,0.94,12.4,8
"2104",6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5
"1502",8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
"2258",7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
"4070",6.2,0.24,0.28,12.2,0.049,54,133,0.9952,3.19,0.37,10.7,6
"4719",5.2,0.24,0.15,7.1,0.043,32,134,0.99378,3.24,0.48,9.9,6
"1899",7.2,0.31,0.41,8.6,0.053,15,89,0.9976,3.29,0.64,9.9,6
"2355",6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6
"2428",8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6
"2755",5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6,5
"1969",7.6,0.2,0.31,1.4,0.047,41,142,0.9934,3.43,0.53,10.1,6
"1944",6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,5
"1169",7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5
"3633",6.5,0.21,0.51,17.6,0.045,34,125,0.99966,3.2,0.47,8.8,6
"1380",6.9,0.46,0.2,0.9,0.054,5,126,0.992,3.1,0.42,10.4,6
"1845",6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6
"324",6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6
"4570",6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,6
"4572",5.7,0.22,0.28,1.3,0.027,26,101,0.98948,3.35,0.38,12.5,7
"3818",6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6
"1848",7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5
"2899",8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1,5
"1443",8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5
"2893",6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5
"1281",7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6
"2976",8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,6
"4672",4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.4666666666667,5
"815",7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6
"2838",7.3,0.26,0.3,9.3,0.05,35,154,0.99581,3.21,0.5,10.4,6
"3077",6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6,5
"2691",6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6
"3641",6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,6
"3248",7.7,0.27,0.49,3.8,0.037,46,139,0.99116,3.04,0.38,11.6,6
"827",6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,6
"4583",6.3,0.37,0.51,6.3,0.048,35,146,0.9943,3.1,1.01,10.5,6
"4257",6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5
"4817",6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6
"1900",6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7
"3096",9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6
"2095",6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5
"3159",7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7
"1250",8.4,0.57,0.44,10.7,0.051,46,195,0.9981,3.15,0.51,10.4,5
"3775",6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5
"2931",5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,8
"3284",6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6
"748",7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6
"2457",8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6
"4594",6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6
"4123",6.2,0.34,0.25,12.1,0.059,33,171,0.99769,3.14,0.56,8.7,6
"3934",8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11,4
"2847",6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
"1262",7.3,0.19,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,6
"393",6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6
"2961",7.7,0.11,0.34,14.05,0.04,41,114,0.99634,3.07,0.59,11,7
"1506",9.2,0.18,0.49,1.5,0.041,39,130,0.9945,3.04,0.49,9.8,7
"1158",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
"1282",7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7
"4758",6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7
"4188",5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,6
"2668",6.6,0.12,0.25,1.4,0.039,21,131,0.99114,3.2,0.45,11.2,7
"3499",6.4,0.3,0.36,2,0.052,18,141,0.99273,3.38,0.53,10.5,6
"2626",4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,5
"240",6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,6
"2701",6.5,0.46,0.31,5,0.027,15,72,0.99165,3.26,0.6,11.5,7
"2603",6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
"2614",6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
"2936",7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,4
"3124",5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,5
"713",8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6
"1362",6,0.13,0.28,5.7,0.038,56,189.5,0.9948,3.59,0.43,10.6,7
"3360",6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6
"2421",8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7
"3924",8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5
"2500",6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,6
"2282",6.3,0.16,0.22,1.3,0.046,18,66,0.99307,3.61,0.55,10.3,6
"968",6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6
"824",6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,6
"4170",6.7,0.21,0.34,1.5,0.035,45,123,0.98949,3.24,0.36,12.6,7
"4685",6,0.24,0.34,1,0.036,52,184,0.99097,3.44,0.44,11.45,6
"3229",6.8,0.27,0.42,7.3,0.054,58,200,0.99556,3.12,0.49,9.4,6
"1049",8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,5
"3203",5.6,0.42,0.34,2.4,0.022,34,97,0.98915,3.22,0.38,12.8,7
"3680",7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,7
"130",6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6
"715",6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6
"4505",6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,5
"758",6.8,0.22,0.37,15.2,0.051,68,178,0.99935,3.4,0.85,9.3,6
"433",7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
"1319",6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,6
"1018",7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
"70",7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
"1173",7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
"1372",8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,7
"3133",6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6
"2272",6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6
"4173",6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,6
"2310",8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6
"4750",6.2,0.35,0.25,18.4,0.051,28,182,0.99946,3.13,0.62,9.3,6
"207",7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5
"1682",6.3,0.31,0.3,10,0.046,49,212,0.9962,3.74,0.55,11.9,6
"4203",6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,6
"4822",7,0.24,0.47,1.3,0.043,18,131,0.99176,3.19,0.45,11,6
"2058",6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,7
"3485",6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
"3295",7.3,0.25,0.28,1.5,0.043,19,113,0.99338,3.38,0.56,10.1,6
"1442",7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,5
"4495",7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6
"1966",6.8,0.27,0.28,13.3,0.076,50,163,0.9979,3.03,0.38,8.6,6
"4598",6.7,0.66,0,13,0.033,32,75,0.99551,3.15,0.5,10.7,6
"3474",6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8
"1791",9.4,0.16,0.3,1.4,0.042,26,176,0.9954,3.15,0.46,9.1,5
"598",7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,6
"2239",6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
"1596",6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6
"636",5.9,0.14,0.25,4.5,0.027,34,140,0.9934,3.49,0.51,10.8,6
"3868",7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5
"1880",7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6
"1249",7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,7
"554",7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
"839",7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
"2387",6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4
"4392",7.3,0.22,0.37,15.5,0.048,70,203,0.99899,3.25,0.77,9.4,5
"4858",7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,6
"16",6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7
"1638",8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6
"2648",5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,5
"804",6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,7
"4192",7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5
"4437",6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9,6
"2998",6.9,0.25,0.33,1.2,0.035,35,158,0.99082,3.02,0.58,11.3,6
"111",6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,6
"1445",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
"2659",6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,7
"2733",7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10,5
"509",5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,6
"3221",9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,5
"711",6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5
"2590",7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,4
"3943",7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,6
"1832",7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,7
"419",7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6
"3170",5.7,0.16,0.26,6.3,0.043,28,113,0.9936,3.06,0.58,9.9,6
"2153",7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6
"740",6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6
"271",6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6
"134",6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5
"2920",6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5
"1485",7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,3
"4285",6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6
"2622",6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
"2053",6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
"42",6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6
"1252",5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5
"3524",6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5
"1948",5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
"4077",7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,5
"2966",5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,8
"3750",6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,6
"1009",6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,7
"2501",6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
"2848",5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,5
"1206",8.9,0.33,0.32,1.5,0.047,11,200,0.9954,3.19,0.46,9.4,5
"3408",6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
"755",5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5
"4009",6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,6
"2468",7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6
"1284",8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8
"847",6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5
"4414",5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,7
"1165",8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6
"119",7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
"1099",6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,6
"3079",7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,5
"2384",6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6
"775",9.1,0.27,0.45,10.6,0.035,28,124,0.997,3.2,0.46,10.4,9
"3964",6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8,7
"2197",7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6
"3413",6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1,6
"2953",6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9,5
"4385",6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5
"404",7.1,0.27,0.31,18.2,0.046,55,252,1,3.07,0.56,8.7,5
"3089",6.3,0.37,0.37,1.5,0.024,12,76,0.98876,2.94,0.39,12.3,6
"13",7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
"1307",6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8
"1433",6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,7
"2699",6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
"2903",6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5
"2730",6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
"2904",5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6
"2674",7.9,0.37,0.31,2.85,0.037,5,24,0.9911,3.19,0.36,11.9,6
"4246",7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2,5
"3396",6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1,5
"2798",6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
"544",6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,6
"2252",7.4,0.18,0.29,1.4,0.042,34,101,0.99384,3.54,0.6,10.5,7
"92",6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5
"1644",8.1,0.3,0.49,12.3,0.049,50,144,0.9971,3.09,0.57,10.2,7
"1622",8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
"1083",6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
"1439",6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,5
"2349",8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6
"2087",8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,5
"2247",6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4
"3854",6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7
"3132",6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,5
"1478",7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,6
"148",6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4
"2650",7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6
"982",7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
"737",6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
"3298",6.5,0.25,0.5,7.6,0.047,54,184,0.99572,3.17,0.45,9.2,5
"2921",7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4
"3634",6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6
"4825",6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5
"2669",9.6,0.655,0.21,2,0.039,21,120,0.99188,3,1,12.6,6
"4540",8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05,5
"3122",7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5
"3391",6.9,0.29,0.3,8.2,0.026,35,112,0.99144,3,0.37,12.3,6
"1877",8,0.19,0.3,2,0.053,48,140,0.994,3.18,0.49,9.6,6
"1164",5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6
"975",7.1,0.13,0.38,1.8,0.046,14,114,0.9925,3.32,0.9,11.7,6
"1692",7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
"4351",7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,6
"1312",6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,6
"668",7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6
"3464",6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9,7
"145",8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6
"4789",6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
"2609",7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
"954",8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,5
"1666",6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,8
"1197",6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7
"1260",6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,6
"2383",6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
"2352",7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6
